dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,16,0,0,0,0,Generic,1
1.9697,tcp,-,FIN,26,72,1360,75326,49.24608,5312.4844,301690.62,6,34,78.759636,26.345154,3797.2253,2184.302,255,2023848248,1224276082,255,0.17328,0.099185,0.074095,52,1046,0,0,1,1,0,0,0,0,Exploits,1
9e-06,unas,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Exploits,1
0.193718,tcp,http,FIN,12,6,4708,268,87.75643,178238.47,9250.56,3,1,16.343546,35.5594,963.47925,60.840523,255,583255819,1117238345,255,0.061755,0.015918,0.045837,392,45,1,0,1,1,0,0,1,0,Exploits,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,9,0,0,0,0,Generic,1
2e-06,rdp,-,INT,2,0,200,0,500000.0,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Backdoor,1
1.9e-05,udp,-,INT,3,0,3028,0,105263.164,850105300.0,0.0,0,0,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1009,0,0,0,2,1,0,0,0,0,Fuzzers,1
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,2,0,0,0,0,Generic,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Exploits,1
0.237365,tcp,http,FIN,10,8,1066,1144,71.61965,32355.232,33737.07,2,2,26.37389,32.301144,1402.9058,55.45379,255,490809177,3938459646,255,0.053187,0.00648,0.046707,107,143,1,141,1,1,0,0,1,0,DoS,1
3.125514,tcp,http,FIN,10,14,826,8312,7.35879,1904.3268,19757.39,2,4,347.27933,230.93608,24378.934,24053.416,255,1868937896,3460650960,255,0.301154,0.122692,0.178462,83,594,1,3610,1,1,0,0,1,0,Exploits,1
7e-06,udp,-,INT,2,0,168,0,142857.14,96000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
9e-06,isis,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Exploits,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,18,0,0,0,0,Generic,1
0.558116,tcp,http,FIN,10,6,890,268,26.876131,11481.483,3210.802,2,1,62.01289,97.8506,3010.9192,146.80945,255,4208451146,1691606851,255,0.141568,0.068252,0.073316,89,45,0,0,1,1,0,0,0,0,Exploits,1
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,10,0,0,0,0,Generic,1
1e-05,udp,-,INT,2,0,1064,0,100000.0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,1,1,0,0,0,0,Fuzzers,1
0.490976,tcp,http,FIN,10,8,768,1224,34.62491,11275.5,17450.955,2,2,54.55289,61.278145,3251.9854,119.68563,255,1549135505,1339101376,255,0.122668,0.061476,0.061192,77,153,1,202,1,1,0,0,1,0,Exploits,1
6e-06,udp,dns,INT,2,0,114,0,166666.66,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,39,25,0,0,0,0,Generic,1
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,8,0,0,0,0,Generic,1
1.166996,tcp,http,FIN,10,12,878,5146,17.99492,5422.469,32342.87,2,3,129.59511,102.193726,8429.915,6693.885,255,826753495,4014398504,255,0.128458,0.042856,0.085602,88,429,0,0,1,1,0,0,0,0,Exploits,1
1.239788,tcp,-,FIN,12,10,998,806,16.93838,5904.235,4684.672,3,2,107.42791,126.24345,6694.852,158.8109,255,98407873,3550364749,255,0.17528,0.103596,0.071684,83,81,0,0,1,1,0,0,0,0,Fuzzers,1
1.124976,tcp,ftp-data,FIN,10,24,450,24596,29.333958,2880.0613,167626.69,1,10,124.881,43.986,7997.3657,4971.3594,255,1026070657,2471320350,255,0.167863,0.113295,0.054568,45,1025,0,0,1,1,0,0,0,0,Exploits,1
4e-06,udp,-,INT,2,0,1846,0,250000.0,1846000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,923,0,0,0,1,1,0,0,0,0,DoS,1
0.638238,tcp,-,FIN,10,8,564,354,26.635832,6367.5303,3885.6978,2,1,70.91534,87.38486,5447.0767,137.83444,255,2973108212,4205819111,255,0.035633,0.016228,0.019405,56,44,0,0,1,1,0,0,0,0,Reconnaissance,1
1.487255,tcp,smtp,FIN,52,24,41143,1934,50.428474,217054.9,9972.735,22,8,29.161863,60.87874,2228.4595,83.02889,255,1748430917,1957285644,255,0.102997,0.056239,0.046758,791,81,0,0,1,1,0,0,0,0,Exploits,1
0.353701,tcp,http,FIN,10,10,826,4354,53.71769,16827.773,88639.84,2,3,39.28622,35.217777,2085.722,2309.1245,255,1372054879,1340559873,255,0.070758,0.03674,0.034018,83,435,1,1724,1,1,0,0,1,0,Exploits,1
7e-06,any,-,INT,2,0,200,0,142857.14,114285710.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,DoS,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,15,0,0,0,0,Generic,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,12,0,0,0,0,Generic,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,16,0,0,0,0,Generic,1
0.206581,sctp,-,CON,4,2,528,392,24.203583,15335.39,7590.243,0,0,68.86034,0.002,97.37119,0.0,0,0,0,0,0.0,0.0,0.0,132,196,0,0,1,1,0,0,0,0,DoS,1
0.835084,tcp,http,FIN,12,10,1252,3174,25.14717,10997.695,27369.701,3,3,75.916725,79.087555,3955.7122,106.88719,255,574243838,1870273230,255,0.107643,0.069533,0.03811,104,317,1,769,1,1,0,0,1,0,Exploits,1
1e-05,udp,-,INT,2,0,1746,0,100000.0,698400000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,873,0,0,0,7,1,0,0,0,0,Fuzzers,1
